Country Name,Rio 2016 (G+S+B),London 2012 (G+B+S),Beijing 2008 (G+S+B),Athens 2004 (G+S+B),host_country,Total Medals (G+S+B),HDI (2019),Population 2021,GDP per capita (US$)
United States,121.0,104.0,112.0,101.0,0,438.0,0.92,332915.073,65118.0
United Kingdom,67.0,65.0,51.0,30.0,0,213.0,0.92,68207.116,42300.0
China,70.0,91.0,100.0,63.0,0,324.0,0.758,1444216.107,10262.0
Russia,56.0,68.0,60.0,90.0,0,274.0,0.824,145912.025,11585.0
Germany,42.0,44.0,41.0,49.0,0,176.0,0.939,83900.473,46259.0
Japan,41.0,38.0,25.0,37.0,1,141.0,0.915,126050.804,40247.0
France,42.0,35.0,43.0,33.0,0,153.0,0.891,65426.179,40494.0
South Korea,21.0,30.0,32.0,30.0,0,113.0,0.906,51305.186,31489.1227
Italy,28.0,28.0,27.0,32.0,0,115.0,0.883,60367.477,33190.0
Australia,29.0,35.0,46.0,50.0,0,160.0,0.938,25788.215,54907.0
Netherlands,19.0,20.0,16.0,22.0,0,77.0,0.933,17173.099,52448.0
Hungary,15.0,18.0,10.0,17.0,0,60.0,0.845,9634.164,16476.0
Brazil,19.0,17.0,17.0,10.0,0,63.0,0.761,213993.437,8717.0
Spain,17.0,19.0,19.0,20.0,0,75.0,0.893,46745.216,29614.0
Kenya,13.0,13.0,16.0,7.0,0,49.0,0.579,54985.698,1817.0
Jamaica,11.0,12.0,11.0,5.0,0,39.0,0.726,2973.463,5582.0
Croatia,10.0,6.0,5.0,5.0,0,26.0,0.837,4081.651,14853.0
Cuba,11.0,15.0,30.0,27.0,0,83.0,0.778,11317.505,9099.673146
New Zealand,18.0,13.0,9.0,5.0,0,45.0,0.921,4860.643,42084.0
Canada,22.0,18.0,20.0,12.0,0,72.0,0.922,38067.903,46195.0
Uzbekistan,13.0,3.0,4.0,5.0,0,25.0,0.71,33935.763,1725.0
Kazakhstan,18.0,11.0,9.0,8.0,0,46.0,0.817,18994.962,9731.0
Colombia,8.0,9.0,3.0,2.0,0,22.0,0.761,51265.844,6432.0
Switzerland,7.0,4.0,7.0,5.0,0,23.0,0.946,8715.494,81994.0
Iran,8.0,13.0,2.0,6.0,0,29.0,0.797,85028.759,2282.551865
Greece,6.0,2.0,3.0,16.0,0,27.0,0.872,10370.744,19583.0
Argentina,4.0,4.0,6.0,6.0,0,20.0,0.83,45605.826,10006.0
Denmark,15.0,9.0,7.0,8.0,0,39.0,0.93,5813.298,59822.0
Sweden,11.0,8.0,5.0,7.0,0,31.0,0.937,10160.169,51610.0
South Africa,10.0,6.0,1.0,6.0,0,23.0,0.705,60041.994,6001.0
Ukraine,11.0,19.0,22.0,22.0,0,74.0,0.75,43466.819,3659.0
Serbia,8.0,4.0,3.0,0.0,0,15.0,0.799,8697.55,7402.0
Poland,11.0,11.0,11.0,10.0,0,43.0,0.872,37797.005,15595.0
North Korea,7.0,7.0,6.0,5.0,0,25.0,0.7955000000000001,11474.9155,9734.5
Belgium,6.0,3.0,2.0,3.0,0,14.0,0.919,11632.326,46117.0
Thailand,6.0,4.0,6.0,8.0,0,24.0,0.765,69950.85,7808.0
Slovakia,4.0,4.0,6.0,6.0,0,20.0,0.857,5460.721,19329.0
